Combination,Mean
"((97.0, 97.375), (97.375000001, 97.750000001), (99.250000006, 99.625000006), (102.571428572, 103.0))",99.24330357324999
"((97.0, 97.375), (97.375000001, 97.750000001), (99.625000007, 100.0), (100.000000001, 100.428571428))",98.69419642974998
"((97.0, 97.375), (97.375000001, 97.750000001), (99.625000007, 100.0), (100.428571429, 100.857142857))",98.80133928687499
"((97.0, 97.375), (97.375000001, 97.750000001), (99.625000007, 100.0), (100.857142858, 101.285714285))",98.90848214399999
"((97.0, 97.375), (97.375000001, 97.750000001), (99.625000007, 100.0), (101.285714286, 101.714285714))",99.01562500112499
"((97.0, 97.375), (97.375000001, 97.750000001), (99.625000007, 100.0), (101.714285715, 102.142857143))",99.12276785837498
"((97.0, 97.375), (97.375000001, 97.750000001), (99.625000007, 100.0), (102.142857144, 102.571428571))",99.22991071549998
"((97.0, 97.375), (97.375000001, 97.750000001), (99.625000007, 100.0), (102.571428572, 103.0))",99.337053572625
"((97.0, 97.375), (97.375000001, 97.750000001), (100.000000001, 100.428571428), (100.428571429, 100.857142857))",98.90178571462499
"((97.0, 97.375), (97.375000001, 97.750000001), (100.000000001, 100.428571428), (100.857142858, 101.285714285))",99.00892857174999
"((97.0, 97.375), (97.375000001, 97.750000001), (100.000000001, 100.428571428), (101.285714286, 101.714285714))",99.11607142887499
"((97.0, 97.375), (97.375000001, 97.750000001), (100.000000001, 100.428571428), (101.714285715, 102.142857143))",99.22321428612499
"((97.0, 97.375), (97.375000001, 97.750000001), (100.000000001, 100.428571428), (102.142857144, 102.571428571))",99.33035714324998
"((97.0, 97.375), (97.375000001, 97.750000001), (100.000000001, 100.428571428), (102.571428572, 103.0))",99.437500000375
"((97.0, 97.375), (97.375000001, 97.750000001), (100.428571429, 100.857142857), (100.857142858, 101.285714285))",99.116071428875
"((97.0, 97.375), (97.375000001, 97.750000001), (100.428571429, 100.857142857), (101.285714286, 101.714285714))",99.223214286
"((97.0, 97.375), (97.375000001, 97.750000001), (100.428571429, 100.857142857), (101.714285715, 102.142857143))",99.33035714325
"((97.0, 97.375), (97.375000001, 97.750000001), (100.428571429, 100.857142857), (102.142857144, 102.571428571))",99.437500000375
"((97.0, 97.375), (97.375000001, 97.750000001), (100.428571429, 100.857142857), (102.571428572, 103.0))",99.54464285750001
"((97.0, 97.375), (97.375000001, 97.750000001), (100.857142858, 101.285714285), (101.285714286, 101.714285714))",99.330357143125
"((97.0, 97.375), (97.375000001, 97.750000001), (100.857142858, 101.285714285), (101.714285715, 102.142857143))",99.437500000375
"((97.0, 97.375), (97.375000001, 97.750000001), (100.857142858, 101.285714285), (102.142857144, 102.571428571))",99.54464285750001
"((97.0, 97.375), (97.375000001, 97.750000001), (100.857142858, 101.285714285), (102.571428572, 103.0))",99.65178571462499
"((97.0, 97.375), (97.375000001, 97.750000001), (101.285714286, 101.714285714), (101.714285715, 102.142857143))",99.5446428575
"((97.0, 97.375), (97.375000001, 97.750000001), (101.285714286, 101.714285714), (102.142857144, 102.571428571))",99.65178571462499
"((97.0, 97.375), (97.375000001, 97.750000001), (101.285714286, 101.714285714), (102.571428572, 103.0))",99.75892857175
