Combination,Mean
"((102.0, 101.735), (101.734, 101.469), (101.468, 101.202), (101.201, 100.935))",101.46799999999999
"((102.0, 101.735), (101.734, 101.469), (101.468, 101.202), (100.934, 100.668))",101.40124999999999
"((102.0, 101.735), (101.734, 101.469), (101.468, 101.202), (100.667, 100.4))",101.334375
"((102.0, 101.735), (101.734, 101.469), (101.468, 101.202), (100.4, 100.134))",101.26774999999999
"((102.0, 101.735), (101.734, 101.469), (101.468, 101.202), (100.133, 99.867))",101.201
"((102.0, 101.735), (101.734, 101.469), (101.468, 101.202), (99.866, 99.6))",101.13425
"((102.0, 101.735), (101.734, 101.469), (101.468, 101.202), (99.599, 99.333))",101.0675
"((102.0, 101.735), (101.734, 101.469), (101.468, 101.202), (99.332, 99.066))",101.00075
"((102.0, 101.735), (101.734, 101.469), (101.468, 101.202), (99.065, 98.799))",100.934
"((102.0, 101.735), (101.734, 101.469), (101.468, 101.202), (98.798, 98.532))",100.86724999999998
"((102.0, 101.735), (101.734, 101.469), (101.468, 101.202), (98.531, 98.266))",100.800625
"((102.0, 101.735), (101.734, 101.469), (101.468, 101.202), (98.265, 98.0))",100.73412499999999
"((102.0, 101.735), (101.734, 101.469), (101.201, 100.935), (100.934, 100.668))",101.33449999999999
"((102.0, 101.735), (101.734, 101.469), (101.201, 100.935), (100.667, 100.4))",101.267625
"((102.0, 101.735), (101.734, 101.469), (101.201, 100.935), (100.4, 100.134))",101.201
"((102.0, 101.735), (101.734, 101.469), (101.201, 100.935), (100.133, 99.867))",101.13425
"((102.0, 101.735), (101.734, 101.469), (101.201, 100.935), (99.866, 99.6))",101.0675
"((102.0, 101.735), (101.734, 101.469), (101.201, 100.935), (99.599, 99.333))",101.00075
"((102.0, 101.735), (101.734, 101.469), (101.201, 100.935), (99.332, 99.066))",100.934
"((102.0, 101.735), (101.734, 101.469), (101.201, 100.935), (99.065, 98.799))",100.86725
"((102.0, 101.735), (101.734, 101.469), (101.201, 100.935), (98.798, 98.532))",100.8005
"((102.0, 101.735), (101.734, 101.469), (101.201, 100.935), (98.531, 98.266))",100.733875
"((102.0, 101.735), (101.734, 101.469), (101.201, 100.935), (98.265, 98.0))",100.66737499999999
"((102.0, 101.735), (101.734, 101.469), (100.934, 100.668), (100.667, 100.4))",101.200875
"((102.0, 101.735), (101.734, 101.469), (100.934, 100.668), (100.4, 100.134))",101.13425
"((102.0, 101.735), (101.734, 101.469), (100.934, 100.668), (100.133, 99.867))",101.0675
"((102.0, 101.735), (101.734, 101.469), (100.934, 100.668), (99.866, 99.6))",101.00075
"((102.0, 101.735), (101.734, 101.469), (100.934, 100.668), (99.599, 99.333))",100.934
"((102.0, 101.735), (101.734, 101.469), (100.934, 100.668), (99.332, 99.066))",100.86725
"((102.0, 101.735), (101.734, 101.469), (100.934, 100.668), (99.065, 98.799))",100.8005
"((102.0, 101.735), (101.734, 101.469), (100.934, 100.668), (98.798, 98.532))",100.73374999999999
"((102.0, 101.735), (101.734, 101.469), (100.934, 100.668), (98.531, 98.266))",100.667125
"((102.0, 101.735), (101.734, 101.469), (100.934, 100.668), (98.265, 98.0))",100.600625
"((102.0, 101.735), (101.734, 101.469), (100.667, 100.4), (100.4, 100.134))",101.067375
"((102.0, 101.735), (101.734, 101.469), (100.667, 100.4), (100.133, 99.867))",101.000625
"((102.0, 101.735), (101.734, 101.469), (100.667, 100.4), (99.866, 99.6))",100.933875
"((102.0, 101.735), (101.734, 101.469), (100.667, 100.4), (99.599, 99.333))",100.867125
"((102.0, 101.735), (101.734, 101.469), (100.667, 100.4), (99.332, 99.066))",100.800375
"((102.0, 101.735), (101.734, 101.469), (100.667, 100.4), (99.065, 98.799))",100.733625
"((102.0, 101.735), (101.734, 101.469), (100.667, 100.4), (98.798, 98.532))",100.666875
"((102.0, 101.735), (101.734, 101.469), (100.667, 100.4), (98.531, 98.266))",100.60025
"((102.0, 101.735), (101.734, 101.469), (100.667, 100.4), (98.265, 98.0))",100.53375
"((102.0, 101.735), (101.734, 101.469), (100.4, 100.134), (100.133, 99.867))",100.934
"((102.0, 101.735), (101.734, 101.469), (100.4, 100.134), (99.866, 99.6))",100.86725
"((102.0, 101.735), (101.734, 101.469), (100.4, 100.134), (99.599, 99.333))",100.8005
"((102.0, 101.735), (101.734, 101.469), (100.4, 100.134), (99.332, 99.066))",100.73375
"((102.0, 101.735), (101.734, 101.469), (100.4, 100.134), (99.065, 98.799))",100.667
"((102.0, 101.735), (101.734, 101.469), (100.4, 100.134), (98.798, 98.532))",100.60024999999999
"((102.0, 101.735), (101.734, 101.469), (100.4, 100.134), (98.531, 98.266))",100.533625
"((102.0, 101.735), (101.734, 101.469), (100.4, 100.134), (98.265, 98.0))",100.467125
"((102.0, 101.735), (101.734, 101.469), (100.133, 99.867), (99.866, 99.6))",100.8005
"((102.0, 101.735), (101.734, 101.469), (100.133, 99.867), (99.599, 99.333))",100.73375
"((102.0, 101.735), (101.734, 101.469), (100.133, 99.867), (99.332, 99.066))",100.667
"((102.0, 101.735), (101.734, 101.469), (100.133, 99.867), (99.065, 98.799))",100.60025
"((102.0, 101.735), (101.734, 101.469), (100.133, 99.867), (98.798, 98.532))",100.5335
"((102.0, 101.735), (101.734, 101.469), (100.133, 99.867), (98.531, 98.266))",100.466875
"((102.0, 101.735), (101.734, 101.469), (100.133, 99.867), (98.265, 98.0))",100.400375
"((102.0, 101.735), (101.734, 101.469), (99.866, 99.6), (99.599, 99.333))",100.667
"((102.0, 101.735), (101.734, 101.469), (99.866, 99.6), (99.332, 99.066))",100.60025
"((102.0, 101.735), (101.734, 101.469), (99.866, 99.6), (99.065, 98.799))",100.5335
"((102.0, 101.735), (101.734, 101.469), (99.866, 99.6), (98.798, 98.532))",100.46674999999999
"((102.0, 101.735), (101.734, 101.469), (99.866, 99.6), (98.531, 98.266))",100.400125
"((102.0, 101.735), (101.734, 101.469), (99.866, 99.6), (98.265, 98.0))",100.333625
"((102.0, 101.735), (101.734, 101.469), (99.599, 99.333), (99.332, 99.066))",100.5335
"((102.0, 101.735), (101.734, 101.469), (99.599, 99.333), (99.065, 98.799))",100.46675
"((102.0, 101.735), (101.734, 101.469), (99.599, 99.333), (98.798, 98.532))",100.4
"((102.0, 101.735), (101.734, 101.469), (99.599, 99.333), (98.531, 98.266))",100.333375
"((102.0, 101.735), (101.734, 101.469), (99.599, 99.333), (98.265, 98.0))",100.266875
"((102.0, 101.735), (101.734, 101.469), (99.332, 99.066), (99.065, 98.799))",100.4
"((102.0, 101.735), (101.734, 101.469), (99.332, 99.066), (98.798, 98.532))",100.33324999999999
"((102.0, 101.735), (101.734, 101.469), (99.332, 99.066), (98.531, 98.266))",100.266625
"((102.0, 101.735), (101.734, 101.469), (99.332, 99.066), (98.265, 98.0))",100.200125
"((102.0, 101.735), (101.734, 101.469), (99.065, 98.799), (98.798, 98.532))",100.26650000000001
"((102.0, 101.735), (101.734, 101.469), (99.065, 98.799), (98.531, 98.266))",100.199875
"((102.0, 101.735), (101.734, 101.469), (99.065, 98.799), (98.265, 98.0))",100.133375
"((102.0, 101.735), (101.734, 101.469), (98.798, 98.532), (98.531, 98.266))",100.133125
"((102.0, 101.735), (101.734, 101.469), (98.798, 98.532), (98.265, 98.0))",100.066625
"((102.0, 101.735), (101.734, 101.469), (98.531, 98.266), (98.265, 98.0))",100.0
"((102.0, 101.735), (101.468, 101.202), (101.201, 100.935), (100.934, 100.668))",101.267875
"((102.0, 101.735), (101.468, 101.202), (101.201, 100.935), (100.667, 100.4))",101.20100000000001
"((102.0, 101.735), (101.468, 101.202), (101.201, 100.935), (100.4, 100.134))",101.134375
"((102.0, 101.735), (101.468, 101.202), (101.201, 100.935), (100.133, 99.867))",101.067625
"((102.0, 101.735), (101.468, 101.202), (101.201, 100.935), (99.866, 99.6))",101.00087500000001
"((102.0, 101.735), (101.468, 101.202), (101.201, 100.935), (99.599, 99.333))",100.93412500000001
"((102.0, 101.735), (101.468, 101.202), (101.201, 100.935), (99.332, 99.066))",100.86737500000001
"((102.0, 101.735), (101.468, 101.202), (101.201, 100.935), (99.065, 98.799))",100.80062500000001
"((102.0, 101.735), (101.468, 101.202), (101.201, 100.935), (98.798, 98.532))",100.73387500000001
"((102.0, 101.735), (101.468, 101.202), (101.201, 100.935), (98.531, 98.266))",100.66725000000001
"((102.0, 101.735), (101.468, 101.202), (101.201, 100.935), (98.265, 98.0))",100.60075
"((102.0, 101.735), (101.468, 101.202), (100.934, 100.668), (100.667, 100.4))",101.13425000000001
"((102.0, 101.735), (101.468, 101.202), (100.934, 100.668), (100.4, 100.134))",101.067625
"((102.0, 101.735), (101.468, 101.202), (100.934, 100.668), (100.133, 99.867))",101.00087500000001
"((102.0, 101.735), (101.468, 101.202), (100.934, 100.668), (99.866, 99.6))",100.93412500000001
"((102.0, 101.735), (101.468, 101.202), (100.934, 100.668), (99.599, 99.333))",100.86737500000001
"((102.0, 101.735), (101.468, 101.202), (100.934, 100.668), (99.332, 99.066))",100.80062500000001
"((102.0, 101.735), (101.468, 101.202), (100.934, 100.668), (99.065, 98.799))",100.73387500000001
"((102.0, 101.735), (101.468, 101.202), (100.934, 100.668), (98.798, 98.532))",100.667125
"((102.0, 101.735), (101.468, 101.202), (100.934, 100.668), (98.531, 98.266))",100.60050000000001
"((102.0, 101.735), (101.468, 101.202), (100.934, 100.668), (98.265, 98.0))",100.534
"((102.0, 101.735), (101.468, 101.202), (100.667, 100.4), (100.4, 100.134))",101.00075
"((102.0, 101.735), (101.468, 101.202), (100.667, 100.4), (100.133, 99.867))",100.934
"((102.0, 101.735), (101.468, 101.202), (100.667, 100.4), (99.866, 99.6))",100.86725
"((102.0, 101.735), (101.468, 101.202), (100.667, 100.4), (99.599, 99.333))",100.8005
"((102.0, 101.735), (101.468, 101.202), (100.667, 100.4), (99.332, 99.066))",100.73375
"((102.0, 101.735), (101.468, 101.202), (100.667, 100.4), (99.065, 98.799))",100.667
